iter	RMSE
0	1.326367872
1	1.309728218
2	1.295202933
3	1.279565806
4	1.26799596
5	1.255881286
6	1.243596225
7	1.233765108
8	1.225342881
9	1.215011634
10	1.207490189
11	1.199888074
12	1.19254228
13	1.186215515
14	1.179403205
15	1.17248218
16	1.166511907
17	1.160449654
18	1.154891261
19	1.150524485
20	1.145694617
21	1.140613894
22	1.136512013
23	1.132323653
24	1.12883551
25	1.125227349
26	1.11981593
27	1.11624534
28	1.112897082
29	1.109061785
30	1.105183672
31	1.100944098
32	1.096240244
33	1.093507531
34	1.090742544
35	1.086785106
36	1.083203877
37	1.080954306
38	1.079132468
39	1.075999374
40	1.074516698
41	1.073231276
42	1.069556698
43	1.066583638
44	1.063644422
45	1.061440454
46	1.058761554
47	1.05642495
48	1.052840243
49	1.050776886
50	1.048783487
51	1.046431854
52	1.04345618
53	1.041340988
54	1.039965243
55	1.038141385
56	1.036614005
57	1.033714545
58	1.031303957
59	1.029138252
60	1.027427547
61	1.024262517
62	1.023385585
63	1.021548664
64	1.020106341
65	1.018950676
66	1.01749514
67	1.016119863
68	1.014746371
69	1.011871375
70	1.010546066
71	1.009494768
72	1.006879328
73	1.005549928
74	1.003424015
75	1.001723075
76	0.9997000984
77	0.9987277814
78	0.9969399221
79	0.9946766324
80	0.9935718654
81	0.9907882466
82	0.9893226823
83	0.9880253569
84	0.9869828537
85	0.9860441985
86	0.9845480141
87	0.9840480799
88	0.9821888979
89	0.9813735887
90	0.979398544
91	0.9780798751
92	0.9766541807
93	0.9754459791
94	0.974616068
95	0.9733415876
96	0.9727348668
97	0.9717673562
98	0.9710528733
99	0.9695566336
100	0.9687632166
101	0.9677360497
102	0.9663102526
103	0.9652535463
104	0.9635219146
105	0.9625928408
106	0.9617369198
107	0.9597941796
108	0.958276388
109	0.9560594046
110	0.9533365994
111	0.9519637592
112	0.9513275126
113	0.9507162185
114	0.9496760015
115	0.9487573704
116	0.947155902
117	0.946097467
118	0.9453464016
119	0.9446683945
120	0.9435758607
121	0.9428790604
122	0.9420528773
123	0.9410921564
124	0.9399590971
125	0.9390281671
126	0.9382141227
127	0.935757784
128	0.9349991793
129	0.9342978443
130	0.9332035444
131	0.9319508919
132	0.9300731783
133	0.9293068978
134	0.9276962399
135	0.9258333669
136	0.9253664773
137	0.9236505278
138	0.9222541438
139	0.9215875973
140	0.9208280997
141	0.9193679367
142	0.9183585095
143	0.9174580296
144	0.9162295665
145	0.9155049819
146	0.914592961
147	0.9142059808
148	0.9135391786
149	0.9124995753
150	0.9117137037
151	0.9100142496
152	0.9090413133
153	0.9087096883
154	0.9077293859
155	0.9072214217
156	0.9065026444
157	0.9057617235
158	0.9046242451
159	0.9039534961
160	0.9026588677
161	0.9020081891
162	0.9008030042
163	0.9003108312
164	0.8999208734
165	0.8990351262
166	0.8970268148
167	0.8962933166
168	0.8955121955
169	0.8937356642
170	0.8926150106
171	0.8911477761
172	0.890309201
173	0.8895160806
174	0.8886046894
175	0.8874904128
176	0.8865512964
177	0.8853682777
178	0.8845933879
179	0.8836837046
180	0.8826199525
181	0.8818869489
182	0.880995131
183	0.8802789064
184	0.8790154783
185	0.8773424991
186	0.8751344222
187	0.8739390249
188	0.8731484783
189	0.872185478
190	0.8711914949
191	0.8704266592
192	0.869468979
193	0.8685851668
194	0.8671354362
195	0.8657923314
196	0.8647424426
197	0.8632925205
198	0.8624285154
199	0.8612049151
200	0.860190426
201	0.8595079823
202	0.8585042256
203	0.8574750339
204	0.8571235447
205	0.8561097454
206	0.8552684406
207	0.8544155525
208	0.8526500165
209	0.8521606273
210	0.8512623988
211	0.8506147508
212	0.8502967768
213	0.8493610737
214	0.8486341425
215	0.8475183934
216	0.8469294506
217	0.8463054588
218	0.8452945695
219	0.8450704737
220	0.8442622574
221	0.8436076488
222	0.8426722933
223	0.8410833466
224	0.8405658851
225	0.8400721134
226	0.8375238205
227	0.8368295156
228	0.8359826427
229	0.8351795431
230	0.8337121025
231	0.8320462291
232	0.8310822787
233	0.8306361704
234	0.8297221238
235	0.8285495021
236	0.8284062266
237	0.8274289166
238	0.8260187906
239	0.8251794199
240	0.8247784945
241	0.8239347682
242	0.8225825342
243	0.8212782613
244	0.8203960511
245	0.8195061414
246	0.8186072155
247	0.8179068446
248	0.8167293171
249	0.8160738802
250	0.8152226283
251	0.8144674909
252	0.8138058823
253	0.8132576009
254	0.8128342048
255	0.8125927421
256	0.8121268506
257	0.8116653323
258	0.8109356873
259	0.8103023201
260	0.8100154491
261	0.8087077578
262	0.8076709824
263	0.8068550254
264	0.8057790206
265	0.8043764312
266	0.8037352729
267	0.8030250425
268	0.8024707306
269	0.8021627413
270	0.8013824373
271	0.8004967127
272	0.799737837
273	0.7987899944
274	0.7980768441
275	0.7976818275
276	0.7966088665
277	0.795721745
278	0.7950800975
279	0.7934687183
280	0.7925243375
281	0.7914505261
282	0.7896293876
283	0.7892040162
284	0.7886094338
285	0.7873647727
286	0.7860463507
287	0.7851551051
288	0.7846466892
289	0.7841289597
290	0.7834334098
291	0.7823767215
292	0.7817532185
293	0.7804916942
294	0.7796550725
295	0.7789628072
296	0.7784674217
297	0.7776578204
298	0.7765489534
