iter	Passed	Remaining
0	66	53420
1	178	71132
2	265	70444
3	350	69699
4	448	71235
5	528	70000
6	621	70353
7	708	70183
8	750	65982
9	837	66150
10	925	66359
11	1015	66684
12	1087	65858
13	1175	65994
14	1271	66536
15	1324	64924
16	1395	64290
17	1459	63409
18	1527	62777
19	1582	61722
20	1657	61484
21	1725	61019
22	1807	61055
23	1874	60610
24	1943	60256
25	2004	59670
26	2083	59650
27	2175	59976
28	2263	60168
29	2350	60326
30	2437	60474
31	2522	60541
32	2599	60421
33	2669	60139
34	2743	59967
35	2834	60149
36	2923	60277
37	3010	60366
38	3105	60588
39	3206	60920
40	3299	61077
41	3397	61315
42	3475	61183
43	3563	61223
44	3658	61378
45	3746	61413
46	3840	61525
47	3920	61423
48	4003	61353
49	4095	61427
50	4191	61552
51	4276	61510
52	4362	61489
53	4450	61478
54	4527	61328
55	4610	61257
56	4712	61421
57	4857	62139
58	4970	62428
59	5072	62562
60	5165	62581
61	5257	62583
62	5351	62604
63	5441	62575
64	5517	62392
65	5579	62049
66	5644	61753
67	5728	61661
68	5805	61504
69	5897	61504
70	5985	61455
71	6074	61418
72	6167	61424
73	6261	61425
74	6348	61371
75	6444	61388
76	6523	61250
77	6620	61285
78	6717	61304
79	6805	61253
80	6901	61257
81	6997	61266
82	7102	61354
83	7192	61304
84	7290	61325
85	7412	61542
86	7511	61557
87	7602	61508
88	7709	61585
89	7802	61555
90	7890	61478
91	7986	61458
92	8078	61415
93	8168	61347
94	8264	61328
95	8355	61273
96	8445	61210
97	8546	61219
98	8622	61051
99	8685	60799
100	8792	60852
101	8882	60780
102	8975	60737
103	9068	60686
104	9160	60634
105	9261	60637
106	9364	60653
107	9451	60556
108	9542	60496
109	9638	60461
110	9734	60424
111	9822	60338
112	9912	60266
113	9995	60145
114	10103	60180
115	10200	60148
116	10327	60285
117	10427	60267
118	10513	60165
119	10604	60090
120	10696	60024
121	10786	59944
122	10884	59910
123	10982	59874
124	11077	59819
125	11168	59741
126	11247	59601
127	11336	59514
128	11430	59457
129	11526	59405
130	11615	59317
131	11701	59217
132	11781	59085
133	11890	59095
134	11981	59022
135	12075	58955
136	12183	58961
137	12269	58857
138	12361	58782
139	12463	58758
